iter	Passed	Remaining
854	8097	1373
855	8108	1364
856	8119	1354
857	8128	1345
858	8139	1335
859	8148	1326
860	8157	1317
861	8167	1307
862	8176	1298
863	8186	1288
864	8196	1279
865	8206	1269
866	8215	1260
867	8225	1250
868	8235	1241
869	8244	1231
870	8253	1222
871	8263	1212
872	8272	1203
873	8281	1193
874	8291	1184
875	8301	1175
876	8311	1165
877	8320	1156
878	8329	1146
879	8339	1137
880	8348	1127
881	8358	1118
882	8368	1108
883	8377	1099
884	8386	1089
885	8395	1080
886	8405	1070
887	8414	1061
888	8424	1051
889	8435	1042
890	8445	1033
891	8455	1023
892	8464	1014
893	8473	1004
894	8482	995
895	8491	985
896	8501	976
897	8510	966
898	8519	957
899	8528	947
900	8537	938
901	8546	928
902	8556	919
903	8565	909
904	8574	900
905	8583	890
906	8593	881
907	8602	871
908	8611	862
909	8620	852
910	8629	843
911	8637	833
912	8646	823
913	8656	814
914	8665	805
915	8674	795
916	8684	786
917	8693	776
918	8702	766
919	8711	757
920	8720	747
921	8729	738
922	8739	729
923	8748	719
924	8758	710
925	8768	700
926	8777	691
927	8786	681
928	8796	672
929	8804	662
930	8814	653
931	8823	643
932	8833	634
933	8844	625
934	8854	615
935	8863	606
936	8873	596
937	8882	587
938	8892	577
939	8901	568
940	8910	558
941	8919	549
942	8928	539
943	8938	530
944	8948	520
945	8958	511
946	8970	502
947	8981	492
948	8991	483
949	9001	473
950	9012	464
951	9021	454
952	9031	445
953	9039	435
954	9049	426
955	9058	416
956	9067	407
957	9077	397
958	9086	388
959	9095	378
960	9105	369
961	9114	360
962	9124	350
963	9134	341
964	9143	331
965	9152	322
966	9162	312
967	9171	303
968	9180	293
969	9190	284
970	9200	274
971	9210	265
972	9220	255
973	9230	246
974	9239	236
975	9249	227
976	9258	217
977	9268	208
978	9277	199
979	9287	189
980	9296	180
981	9306	170
982	9315	161
983	9324	151
984	9334	142
985	9343	132
986	9353	123
987	9362	113
988	9373	104
989	9383	94
990	9392	85
991	9402	75
992	9412	66
993	9421	56
994	9431	47
995	9440	37
996	9450	28
997	9459	18
998	9469	9
999	9481	0
